,Env
SRR5610096,Young
SRR3680059,Elder
SRR5610014,Elder
SRR5602080,Elder
SRR5610008,Elder
SRR5802300,Young
SRR3680064,Elder
SRR5602027,Elder
SRR5610073,Young
SRR5602246,Elder
SRR5602105,Young
SRR5802279,Young
SRR5602155,Centenarian
SRR5580648,Young
SRR5610077,Young
SRR5802253,Young
SRR5602046,Young
SRR5610090,Young
SRR5602310,Elder
SRR5610042,Young
SRR5610004,Young
SRR3679974,Elder
SRR5802323,Young
SRR5602182,Centenarian
SRR5610132,Young
SRR5802389,Young
SRR5602179,Centenarian
SRR5602242,Young
SRR5580467,Young
SRR5610030,Young
SRR5802187,Young
SRR5602205,Elder
SRR5610161,Young
SRR5602137,Elder
SRR5602312,Elder
SRR5802310,Young
SRR5580544,Young
SRR5802281,Young
SRR5602180,Elder
SRR5602233,Elder
SRR5802381,Young
SRR5602191,Elder
SRR5602002,Young
SRR5601917,Young
SRR5602008,Elder
SRR5601910,Young
SRR5802236,Young
SRR5802272,Young
SRR5580543,Young
SRR5802400,Young
SRR5602052,Young
SRR5602091,Young
SRR5609957,Young
SRR5802285,Young
SRR5580498,Young
SRR5610001,Young
SRR5610071,Young
SRR5602339,Elder
SRR5802277,Young
SRR5602189,Elder
SRR5601945,Young
SRR5580500,Young
SRR3680068,Elder
SRR5602226,Elder
SRR5601998,Young
SRR5602244,Young
SRR5602354,Elder
SRR5610142,Young
SRR5609951,Young
SRR5580583,Young
SRR5609971,Young
SRR5602121,Elder
SRR5580499,Young
SRR5802261,Young
SRR5609966,Young
SRR5610163,Young
SRR5802377,Young
SRR5602058,Elder
SRR5609967,Young
SRR5601947,Young
SRR5601995,Elder
SRR5609992,Young
SRR5609985,Young
SRR5610045,Young
SRR3679961,Centenarian
SRR5610037,Young
SRR5602287,Elder
SRR5610055,Young
SRR3679975,Elder
SRR5602113,Young
SRR5802267,Young
SRR5610079,Young
SRR5580619,Young
SRR5802318,Young
SRR5802233,Young
SRR5602199,Elder
SRR5580651,Young
SRR5602084,Young
SRR3679953,Young
SRR5601933,Elder
SRR5609994,Young
SRR5802404,Young
SRR5602167,Elder
SRR5610133,Young
SRR5610068,Young
SRR3679945,Elder
SRR5602308,Young
SRR5802306,Young
SRR5601934,Elder
SRR5601990,Elder
SRR5610075,Young
SRR3680070,Elder
SRR3680018,Young
SRR3679938,Young
SRR5802240,Young
SRR5602248,Elder
SRR5601941,Elder
SRR5602265,Elder
SRR5602252,Elder
SRR5602074,Young
SRR5602014,Elder
SRR5580542,Young
SRR3679932,Young
SRR5802320,Young
SRR5610039,Young
SRR5802228,Young
SRR5602028,Young
SRR5609989,Young
SRR5609991,Young
SRR5602330,Elder
SRR5602068,Young
SRR5602145,Centenarian
SRR3679967,Elder
SRR3680072,Elder
SRR5601994,Elder
SRR5602031,Elder
SRR5602214,Elder
SRR5580537,Young
SRR5610062,Young
SRR5802376,Young
SRR3680080,Elder
SRR5602269,Young
SRR5602060,Elder
SRR5601996,Elder
SRR5580539,Young
SRR3680093,Elder
SRR5802291,Young
SRR5609979,Young
SRR5602011,Elder
SRR5602256,Centenarian
SRR5802188,Young
SRR5610149,Young
SRR5610074,Young
SRR5610019,Young
SRR5802330,Young
SRR5602342,Elder
SRR5802231,Young
SRR5802296,Young
SRR5602341,Elder
SRR5602038,Elder
SRR5610044,Young
SRR5802395,Young
SRR5610164,Young
SRR5610020,Young
SRR5802217,Young
SRR5610066,Young
SRR5802271,Young
SRR5802264,Young
SRR5580541,Young
SRR5802192,Young
SRR5602148,Elder
SRR5609990,Young
SRR5802383,Young
SRR5802213,Young
SRR5602006,Young
SRR5602157,Elder
SRR5802235,Young
SRR5802276,Young
SRR5602169,Elder
SRR5802273,Young
SRR5602094,Elder
SRR5802259,Young
SRR5802218,Young
SRR5610072,Young
SRR3679962,Elder
SRR5602174,Elder
SRR5602278,Elder
SRR5802185,Young
SRR5602093,Elder
SRR5802374,Young
SRR5602302,Elder
SRR5602042,Young
SRR5602089,Young
SRR5580616,Young
SRR3680004,Young
SRR3680021,Young
SRR3680046,Elder
SRR5802216,Young
SRR5580463,Young
SRR5602117,Elder
SRR5602166,Elder
SRR5610122,Young
SRR5610128,Young
SRR5602097,Elder
SRR3679985,Elder
SRR5609953,Young
SRR5602250,Elder
SRR5802345,Young
SRR5610047,Young
SRR5802183,Elder
SRR5802327,Young
SRR5602293,Elder
SRR5602306,Elder
SRR5602081,Young
SRR5802326,Young
SRR5802391,Young
SRR3679988,Elder
SRR5602315,Elder
SRR3680044,Elder
SRR5610109,Young
SRR5602236,Young
SRR5601985,Elder
SRR5610091,Young
SRR5802258,Young
SRR5610119,Young
SRR5802257,Young
SRR3679977,Elder
SRR5602311,Elder
SRR5609969,Elder
SRR5602280,Elder
SRR5602264,Elder
SRR5802339,Young
SRR5802387,Young
SRR5602151,Elder
SRR5580470,Young
SRR5609961,Young
SRR5602047,Young
SRR5802312,Young
SRR5602123,Elder
SRR5602147,Elder
SRR5610112,Young
SRR5802212,Young
SRR5610038,Young
SRR3680083,Elder
SRR3680036,Elder
SRR5610115,Young
SRR5802337,Young
SRR5601925,Elder
SRR5602201,Elder
SRR5602270,Elder
SRR5610147,Young
SRR5802350,Young
SRR5610057,Young
SRR5602193,Centenarian
SRR5602115,Elder
SRR5602232,Elder
SRR5602175,Elder
SRR3679969,Elder
SRR3679987,Elder
SRR5610167,Young
SRR5610139,Young
SRR5580430,Young
SRR3680024,Elder
SRR5602076,Elder
SRR5602070,Young
SRR5802234,Young
SRR5602260,Centenarian
SRR5601916,Young
SRR5802322,Young
SRR5802366,Young
SRR5602335,Centenarian
SRR5802286,Young
SRR5602186,Elder
SRR5610065,Young
SRR5602183,Elder
SRR5610067,Young
SRR5802211,Young
SRR5609949,Young
SRR5602160,Centenarian
SRR5602111,Young
SRR5602143,Elder
SRR3680055,Elder
SRR5602351,Centenarian
SRR5610005,Young
SRR5602069,Young
SRR3679994,Elder
SRR5802297,Young
SRR3679965,Elder
SRR5610085,Elder
SRR5580465,Young
SRR5802251,Young
SRR5802246,Young
SRR5610011,Elder
SRR5602262,Elder
SRR5602292,Elder
SRR5802241,Young
SRR5602231,Elder
SRR5602317,Elder
SRR5601992,Elder
SRR3679973,Elder
SRR3680042,Elder
SRR5602004,Young
SRR3680043,Elder
SRR5609980,Young
SRR5580538,Young
SRR5602185,Elder
SRR5802399,Young
SRR5602044,Young
SRR5609999,Young
SRR5610162,Young
SRR5610100,Young
SRR5602015,Elder
SRR5802353,Young
SRR5610120,Young
SRR3680011,Elder
SRR5601965,Elder
SRR5802346,Young
SRR3680034,Elder
SRR5602192,Elder
SRR5602353,Elder
SRR5601926,Elder
SRR5602273,Elder
SRR5602318,Elder
SRR5580413,Young
SRR5802307,Young
SRR5602297,Elder
SRR5601957,Young
SRR3679948,Young
SRR5602172,Elder
SRR5602086,Young
SRR5610146,Young
SRR3680063,Elder
SRR5601997,Young
SRR5602051,Young
SRR5601982,Elder
SRR5602112,Young
SRR5802338,Young
SRR5602320,Elder
SRR5580429,Young
SRR5602087,Young
SRR3680007,Elder
SRR5802206,Young
SRR5602106,Young
SRR3679991,Elder
SRR5609983,Young
SRR5580647,Young
SRR5602109,Young
SRR5802203,Young
SRR5610156,Young
SRR5609954,Young
SRR3679946,Elder
SRR5802200,Young
SRR3680086,Elder
SRR3679998,Elder
SRR3679983,Elder
SRR3679930,Elder
SRR5610028,Young
SRR5802214,Young
SRR5602257,Elder
SRR5602142,Elder
SRR5802388,Young
SRR5602153,Elder
SRR5602118,Elder
SRR5602176,Elder
SRR5802361,Young
SRR5802334,Young
SRR5802245,Young
SRR5610082,Young
SRR5602099,Elder
SRR5802351,Young
SRR5602159,Centenarian
SRR5802368,Young
SRR5602247,Elder
SRR5610116,Young
SRR5610052,Young
SRR5602304,Elder
SRR3679990,Elder
SRR3680084,Elder
SRR5602253,Elder
SRR5610010,Elder
SRR5602202,Elder
SRR5610060,Young
SRR5602255,Elder
SRR5609970,Elder
SRR5602101,Elder
SRR5602050,Young
SRR5601913,Young
SRR5610113,Young
SRR5610143,Young
SRR5602234,Centenarian
SRR5610154,Young
SRR5602243,Young
SRR5610036,Young
SRR5602296,Elder
SRR5609993,Young
SRR5802205,Young
SRR5602125,Centenarian
SRR5602187,Elder
SRR5802304,Young
SRR5802189,Young
SRR3679936,Elder
SRR5609952,Young
SRR5602198,Elder
SRR5602336,Elder
SRR5602305,Elder
SRR5601948,Young
SRR5609958,Young
SRR5610123,Young
SRR5601989,Elder
SRR5609996,Young
SRR5580432,Young
SRR5601984,Elder
SRR5802243,Young
SRR5609976,Young
SRR3679968,Elder
SRR5610089,Young
SRR5602331,Elder
SRR5610101,Young
SRR5602136,Elder
SRR5802403,Young
SRR5602314,Elder
SRR5610070,Young
SRR5602043,Young
SRR5602019,Young
SRR5580431,Young
SRR5610069,Young
SRR5602171,Elder
SRR5610034,Young
SRR5802268,Young
SRR5580652,Young
SRR5601958,Young
SRR5601954,Young
SRR5601932,Elder
SRR5602349,Centenarian
SRR5610173,Young
SRR5601967,Elder
SRR5610159,Young
SRR5602347,Elder
SRR5580536,Young
SRR5602343,Elder
SRR5602057,Elder
SRR5609960,Young
SRR5802250,Young
SRR3679971,Elder
SRR5602279,Elder
SRR5609973,Young
SRR5602139,Elder
SRR5602181,Elder
SRR5580466,Young
SRR5802331,Young
SRR3679933,Young
SRR5602033,Young
SRR5802386,Young
SRR5802328,Young
SRR5610018,Young
SRR5602235,Young
SRR5580433,Young
SRR5602324,Centenarian
SRR5602130,Elder
SRR5601963,Young
SRR5802269,Young
SRR5602197,Elder
SRR5610144,Young
SRR5802298,Young
SRR5802349,Young
SRR5802262,Young
SRR5609988,Young
SRR5602344,Young
SRR5802210,Young
SRR5802324,Young
SRR5602073,Young
SRR5580646,Young
SRR5610157,Young
SRR5602245,Elder
SRR5602023,Elder
SRR5602025,Elder
SRR5580645,Young
SRR5610084,Young
SRR5802237,Young
SRR5602332,Elder
SRR3680065,Elder
SRR5802340,Young
SRR5610027,Young
SRR5802224,Young
SRR5601924,Elder
SRR5602289,Elder
SRR5602313,Elder
SRR5602203,Elder
SRR3679996,Elder
SRR5802197,Young
SRR5602116,Elder
SRR5602206,Young
SRR5802275,Young
SRR5802207,Young
SRR5602000,Young
SRR5602281,Elder
SRR5802311,Young
SRR5602184,Elder
SRR5602220,Centenarian
SRR5602138,Centenarian
SRR5602217,Elder
SRR5601983,Elder
SRR5602100,Elder
SRR5610169,Young
SRR3680005,Young
SRR5602177,Elder
SRR5602020,Elder
SRR5580650,Young
SRR5802242,Young
SRR5802209,Young
SRR5602223,Elder
SRR5802309,Young
SRR5802321,Young
SRR5602092,Centenarian
SRR5601962,Young
SRR5580464,Young
SRR5610064,Young
SRR5802299,Young
SRR5610080,Young
SRR5602017,Elder
SRR5602035,Elder
SRR5802220,Young
SRR5602054,Elder
SRR5802393,Young
SRR3680067,Elder
SRR5602005,Elder
SRR5602218,Elder
SRR5602165,Elder
SRR5601964,Young
SRR5601927,Elder
SRR5610171,Young
SRR5802248,Young
SRR5602152,Elder
SRR5580438,Young
SRR5602158,Elder
SRR5602066,Elder
SRR5602104,Young
SRR5610124,Young
SRR5602271,Elder
SRR5802371,Young
SRR5802287,Young
SRR5802230,Young
SRR5602249,Elder
SRR5602090,Young
SRR5602230,Elder
SRR5802313,Young
SRR5602034,Elder
SRR5802225,Young
SRR5802348,Young
SRR3680035,Elder
SRR5610076,Young
SRR3679980,Centenarian
SRR5601915,Young
SRR5802352,Young
SRR5802190,Young
SRR5602173,Elder
SRR5610012,Elder
SRR5602022,Elder
SRR5602215,Elder
SRR5610040,Young
SRR5602338,Elder
SRR5610023,Young
SRR5601918,Young
SRR5802357,Young
SRR5610102,Young
SRR3680048,Elder
SRR5602323,Elder
SRR5601993,Elder
SRR5609956,Young
SRR5802355,Young
SRR5602083,Young
SRR5602345,Centenarian
SRR5580427,Young
SRR5602263,Elder
SRR5602240,Young
SRR5580540,Young
SRR5602239,Young
SRR5802373,Young
SRR5602078,Young
SRR5602285,Elder
SRR5602029,Elder
SRR3679940,Elder
SRR5602032,Elder
SRR5602267,Elder
SRR5602316,Elder
SRR5602212,Elder
SRR5602328,Elder
SRR5602063,Elder
SRR5610172,Young
SRR3680039,Elder
SRR5602329,Elder
SRR5602294,Elder
SRR5602140,Elder
SRR5580468,Young
SRR5602119,Centenarian
SRR3679944,Young
SRR5610097,Young
SRR5610153,Young
SRR5610095,Young
SRR5610170,Young
SRR5802265,Young
SRR5601969,Young
SRR5602045,Young
SRR5610032,Young
SRR5601944,Young
SRR3680016,Elder
SRR5610094,Young
SRR5802303,Young
SRR5609986,Young
SRR5610083,Young
SRR5602075,Young
SRR5610049,Young
SRR5802293,Young
SRR3680053,Elder
SRR5602337,Elder
SRR5602010,Centenarian
SRR5580502,Young
SRR3679970,Elder
SRR5609978,Young
SRR5610166,Young
SRR3680017,Elder
SRR3679976,Elder
SRR5602258,Elder
SRR5802208,Young
SRR5601959,Elder
SRR5602210,Centenarian
SRR5802380,Young
SRR5610131,Young
SRR5802232,Young
SRR5609963,Young
SRR5802394,Young
SRR5802384,Young
SRR3680045,Elder
SRR5602049,Young
SRR5602040,Young
SRR5580462,Young
SRR5602088,Young
SRR5610121,Young
SRR5802196,Young
SRR5802290,Young
SRR5602225,Elder
SRR5802401,Young
SRR5601949,Young
SRR5602141,Elder
SRR5802392,Young
SRR5602114,Elder
SRR5580435,Young
SRR5802247,Young
SRR3679942,Young
SRR5602007,Young
SRR3679989,Elder
SRR3680078,Elder
SRR5802379,Young
SRR5602238,Young
SRR5602207,Elder
SRR5601909,Young
SRR5610118,Young
SRR3680008,Young
SRR5610086,Young
SRR5602071,Young
SRR5602098,Elder
SRR5601970,Young
SRR5580434,Young
SRR5802301,Young
SRR5802282,Young
SRR5602194,Elder
SRR5610031,Young
SRR5602299,Elder
SRR3679992,Elder
SRR3680058,Elder
SRR5802402,Young
SRR5602012,Elder
SRR5602048,Young
SRR5602327,Elder
SRR5610111,Young
SRR5610114,Young
SRR3679963,Elder
SRR5610025,Young
SRR5602124,Elder
SRR5580461,Young
SRR5601943,Young
SRR5602096,Elder
SRR5610158,Young
SRR5610092,Young
SRR5602204,Elder
SRR5802390,Young
SRR5602131,Elder
SRR5580471,Young
SRR3679937,Young
SRR5601950,Young
SRR5802375,Young
SRR5609946,Young
SRR5610035,Young
SRR5601923,Elder
SRR5609975,Young
SRR5602135,Elder
SRR5802314,Young
SRR5601986,Elder
SRR5602133,Elder
SRR5602082,Young
SRR5610000,Young
SRR5601946,Young
SRR5602026,Elder
SRR5580436,Young
SRR5602170,Elder
SRR5602266,Elder
SRR5580503,Young
SRR5610033,Young
SRR5601928,Elder
SRR5601955,Young
SRR5602237,Young
SRR5602286,Elder
SRR5602016,Centenarian
SRR5602340,Elder
SRR5602095,Elder
SRR5802266,Young
SRR5802284,Young
SRR3679929,Elder
SRR5802305,Young
SRR5802358,Young
SRR5802370,Young
SRR3679926,Young
SRR5602275,Elder
SRR5802270,Young
SRR5802239,Young
SRR5602108,Young
SRR5602062,Elder
SRR3680028,Elder
SRR5802280,Young
SRR5802302,Young
SRR3680031,Elder
SRR5602224,Elder
SRR5601981,Elder
SRR5610138,Young
SRR5602213,Elder
SRR5802193,Young
SRR5802342,Young
SRR5802274,Young
SRR5601931,Elder
SRR5602021,Elder
SRR3679931,Elder
SRR5802215,Young
SRR5802289,Young
SRR5610063,Young
SRR5602168,Centenarian
SRR5602030,Elder
SRR5601952,Young
SRR5610126,Young
SRR5601988,Elder
SRR5802223,Young
SRR5610099,Young
SRR5802238,Young
SRR5601929,Elder
SRR5802263,Young
SRR3680092,Young
SRR5602227,Young
SRR5602284,Centenarian
SRR5610087,Young
SRR5602053,Young
SRR5602154,Elder
SRR5602122,Elder
SRR5609995,Young
SRR5610081,Young
SRR5580525,Young
SRR5602134,Centenarian
SRR5610007,Young
SRR3680079,Elder
SRR5602079,Elder
SRR5602178,Elder
SRR5602321,Elder
SRR3680085,Elder
SRR5609962,Young
SRR5609997,Young
SRR5610140,Young
SRR5610129,Young
SRR5602261,Elder
SRR3680002,Elder
SRR5602290,Centenarian
SRR5610061,Young
SRR5802221,Young
SRR5609981,Young
SRR5802260,Young
SRR5610029,Young
SRR5802369,Young
SRR5610088,Young
SRR5802359,Young
SRR5602196,Elder
SRR5602072,Young
SRR5609948,Young
SRR5580428,Young
SRR5802204,Young
SRR5580501,Young
SRR5802255,Young
SRR3679927,Young
SRR5610006,Young
SRR5609977,Young
SRR5610125,Young
SRR5610117,Young
SRR3680049,Elder
SRR5602018,Elder
SRR5802219,Young
SRR5610127,Young
SRR5602333,Centenarian
SRR5602195,Elder
SRR5802191,Young
SRR3680074,Elder
SRR5602085,Young
SRR3679979,Elder
SRR5601942,Elder
SRR5602036,Elder
SRR5580649,Young
SRR5602132,Elder
SRR5580440,Young
